Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Place,Services for Communities,5/4/2012,3/5/2017,Dartmouth Area Landscape Group          ,657,Dartmouth Diamond Jubilee Way - signposting & interpretation boards,1675,Capital
Place,Services for Communities,28/08/12,3/5/2017,Alphington Sports Club                  ,752,Purchase of new nets,1500,Capital
Place,Services for Communities,21/12/12,3/5/2017,Tavistock Museum Trust                  ,858,Kitchen refurbishment,109.97,Capital
Place,Services for Communities,28/01/13,3/5/2017,Bishops Nympton Parish Hall             ,860,Extension to parish hall car park,3500,Capital
Place,Services for Communities,28/01/13,3/5/2017,Holne Community Shop & Tearoom ,889,Purchase of building,10000,Capital
Place,Services for Communities,28/02/13,3/5/2017,1st South Molton Scout Group            ,970,Renovation of toilets,1000,Capital
Place,Services for Communities,28/10/13,3/5/2017,Roborough Village Hall Committee        ,997,Improvements to main hall,1000,Capital
Place,Services for Communities,2/12/2013,3/5/2017,Bucks Cross Village Hall Management Committee    ,1006,Replace fascia's and guttering,2500,Capital
Place,Services for Communities,25/10/11,3/5/2017,Tavistock Sir Francis Drake Bowling Club,554,Extension ,2500,Capital
Place,Services for Communities,5/4/2012,3/5/2017,Newton & Noss Tennis Club               ,661,Resurfacing & refurbishment,1234,Capital
Place,Services for Communities,21/12/12,3/5/2017,St Thomas Methodist Church              ,820,Community prayer/peace garden & noticeboard,1300,Capital
Place,Services for Communities,28/01/13,3/5/2017,6th Exeter Scout Group                  ,895,Kitchen refurbishment,2000,Capital
Place,Services for Communities,28/02/13,3/5/2017,Museum of Dartmoor Life                 ,924,Courtyard refurbishment,3500,Capital
Place,Services for Communities,28/02/13,3/5/2017,Flavel Centre Trust Ltd                 ,937,Fold up concertina stage,425,Capital
Place,Services for Communities,28/02/13,3/5/2017,Exmouth Light Orchestra                 ,977,Instruments,3108,Capital
Place,Services for Communities,28/02/13,3/5/2017,6th Exeter Scout Group                  ,923,Kitchen refurbishment,2320,Capital
Place,Services for Communities,28/02/13,3/5/2017,Hawkchurch Community Shop               ,982,New building,4000,Capital
Place,Services for Communities,23/06/11,3/5/2017,Greener Ilfracombe Ltd                  ,496,Creation of community garden,224.81,Capital
