Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
Corporate,Public Health,1/4/2015,31/03/2016,Devon Rape Crisis,1144548,To enable Devon Rape Crisis Service to continue to provide information and support to women who have suffered historic or recent sexual violence.,25000,Revenue
Corporate,Public Health,1/7/2014,31/12/2017,Dartmoor National Park,N/A,To support the delivery of the Public Health Outcomes through the promotion of access to Dartmoor National Park.,20000,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,Exeter Community Initiatives,1026229,To support a range of of projects designed to give people skills and social support to help them improve the quality of their life.,70000,Revenue
Corporate,Public Health,1/8/2015,31/03/2016,Exeter Council for Voluntary Services,4928733,"To enable Exeter CVS to develop a mental health toolkit in partnership with the district local authorities, voluntary sector and people with lived experience.",20000,Revenue
Corporate,Public Health,1/4/2014,31/12/2017,Exmoor National Park Project,N/A,To support the delivery of the Public Health Outcomes through the promotion of access to Exmoor National Park.,10000,Revenue
Corporate,Public Health,29/05/2015,31/03/2016,Plymouth and Devon Racial Equality Council,1102012,"Enable an asset based approach to increasing health and wellbeing capacity of the Gypsy and Traveller communities living in, and in transit through, Devon.",2500,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,Mid Devon District Council,N/A,To support an ECO Stars Fleet Recognition Scheme air quality project.,20000,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,North Devon Against Domestic Abuse (NDADA),1098450,"Contribution toward the costs of delivering the MARAC IDVA service within North Devon, Torridge, and South & West Devon.",80000,Revenue
Corporate,Public Health,1/7/2015,30/06/2016,Soil Association,206862,To continue the Food for Life Partnership (FFLP) programme in Devon.,69916,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,Stop Abuse for Everyone,291415,Contribution toward the cost of delivering the MARAC IDVA service within East & Mid Devon.,40000,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,Teignbridge District Council,N/A,The purpose of this grant is to support the eight District Councils across Devon to implement the Places of Safety Model.,25000,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,Young Devon YES,1057949,To enable Young Devon to undertake some specific sexual health focused work with young people.,10000,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,The Zone Youth Enquiry Service Ltd,2787912,To enable young people who reside in the West Devon area to access sexual health promotion advice.,3905,Revenue
Corporate,Public Health,1/4/2015,31/03/2016,South West Regional Enforcement Team - Bristol City Council,N/A,To reduce the availability and supply of illicit tobacco and illicit alcohol in the South West.,14072,Revenue
People,CSW,15/10/2015,31/03/2016,SIDMOUTH YOUTH CLUB,,Community Capacity building for the Devon Youth offer,10000,Revenue
People,CSW,7/1/2015,31/03/2015,LDP,,Aiming High for Disabled Children Grant,1500,Revenue
People,CSW,14/01/2015,31/03/2015,CALVERT TRUST,,Aiming High for Disabled Children Grant,3744,Revenue
People,CSW,14/01/2015,31/03/2015,PLAYLEADER/BUDDY,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,11/2/2015,31/03/2015,FUNDING FOR ACTIV,,Aiming High for Disabled Children Grant,2500,Revenue
People,CSW,13/02/2015,31/03/2015,SMALL GRANTS,,Aiming High for Disabled Children Grant,4000,Revenue
People,CSW,2/3/2015,31/03/2015,SMALL GRANT,,Aiming High for Disabled Children Grant,2750,Revenue
People,CSW,28/07/2015,31/03/2016,GRANT 2015/16,,Aiming High for Disabled Children Grant,4000,Revenue
People,CSW,28/07/2015,31/03/2016,GRANT 2015/15,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,28/07/2015,31/03/2016,GRANT 2015/16,,Aiming High for Disabled Children Grant,4980,Revenue
People,CSW,28/07/2015,31/03/2016,GRANT 2015/16,,Aiming High for Disabled Children Grant,608,Revenue
People,CSW,28/07/2015,31/03/2016,EVENT 16/06/15,,Aiming High for Disabled Children Grant,107,Revenue
People,CSW,1/6/2015,31/03/2016,SMALL GRANTS SCH,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,1/6/2015,31/03/2016,SMALL GRANTS_SCH,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,1/6/2015,31/03/2016,SMALL GRANTS SCH,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,1/6/2015,31/03/2016,SMALL GRANTS SCH,,Aiming High for Disabled Children Grant,3826,Revenue
People,CSW,3/6/2015,31/03/2016,NORTH DEVON,,Aiming High for Disabled Children Grant,3171,Revenue
People,CSW,4/6/2015,31/03/2016,SMALL GRANTS,,Aiming High for Disabled Children Grant,4100,Revenue
People,CSW,17/06/2015,31/03/2016,CURIOUS ENCOUNTRS,,Aiming High for Disabled Children Grant,2040,Revenue
People,CSW,17/06/2015,31/03/2016,GRANT 2015/16,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,2/7/2015,31/03/2016,GRANT 2015/16,,Aiming High for Disabled Children Grant,1020,Revenue
People,CSW,2/7/2015,31/03/2016,GRANT 2015/16,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,10/7/2015,31/03/2016,SMALL GRANTS,,Aiming High for Disabled Children Grant,3600,Revenue
People,CSW,10/7/2015,31/03/2016,GRANT-SURFING,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,10/7/2015,31/03/2016,FUNDS FOR ENABLIN,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,10/7/2015,31/03/2016,AIMING HIGH GRANT,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,18/08/2015,31/03/2016,SOCOPS SGS 15/16,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,18/08/2015,31/03/2016,HOLLOW LN 15/16,,Aiming High for Disabled Children Grant,4885,Revenue
People,CSW,18/08/2015,31/03/2016,SENSE SGS 2015/16,,Aiming High for Disabled Children Grant,4981,Revenue
People,CSW,10/9/2015,31/03/2016,SGS 2015/16(2),,Aiming High for Disabled Children Grant,3560,Revenue
People,CSW,16/10/2015,31/03/2016,CRF10 AIMING HIGH,,Aiming High for Disabled Children Grant,5000,Revenue
People,CSW,16/10/2015,31/03/2016,CRF11 HAPPY HANDS,,Aiming High for Disabled Children Grant,2242,Revenue
People,CSW,21/10/2015,31/03/2016,CALVERT TRUST,,Aiming High for Disabled Children Grant,32000,Revenue
People,CSW,16/11/2015,31/03/2016,CRF11 HAPPY HANDS,,Aiming High for Disabled Children Grant,2758,Revenue
People,EAL,1/6/2015,Summer 15,Brayfords Boomerang,Registered charity No 1088982,"Sustainability, special support and inclusion grant, used for short term sustainability to ensure Devon meets its sufficiency duty",1940,Revenue
People,SCC,22/01/2015,31/07/2015,DAWLISH ACTION FOR YOUTH,,Community Capacity building for the Devon Youth offer,10000,Revenue
People,SCC,22/01/2015,28/02/2016,STARCROSS PARISH COUNCIL,,Community Capacity building for the Devon Youth offer,5000,Revenue
People,SCC,25/02/2015,30/09/2015,HONITON YOUTH CLUB,,Community Capacity building for the Devon Youth offer,5000,Revenue
People,SCC,,2015/16,TAW & TORRIDGE VOLUNTARY SERVICE,,Northam Dementia Café,500,Revenue
People,SCC,,2015/16,TAW & TORRIDGE VOLUNTARY SERVICE,,Bideford Dementia Café,500,Revenue
People,SCC,,2015/16,REGEN LINK,,Dementia Café,486,Revenue
Place,EandE,7/1/2015,31/03/2015,The Springboard,1045411,"To support events and activities to promote apprenticeship and employment opportunities within tourism, leisure, and hospitality to young people across Devon.",8000,Revenue
Place,EandE,20/03/2015,31/03/2015,Dorset & Somerset Training Provider Network,6906643,"To support engagement activities for businesses relating to Higher Apprenticeships, which will lead to them attending an event.",3000,Revenue
Place,EandE,6/3/2015,31/03/2015,South West Investment Group Ltd,2463497,Business Finance Network,5925,Revenue
Place,Highways,1/4/2015,31/03/2016,NATIONAL TRUST,205846,South West Coast path maintenance of,32000,Revenue
Place,Highways,25/03/2015,31/03/2015,MELDON VIADUCT COMPANY LTD,3625472,contribution towards Meldon Viaduct,2830,Revenue
Place,Highways,25/08/2015,31/03/2016,MELDON VIADUCT COMPANY LTD,3625472,contribution towards Meldon Viaduct,7600,Revenue
Place,PT&E,17/04/2015,31/03/2016,Co-cars Ltd,IP031432,Barnstaple Car Club,13750,Revenue
Place,PT&E,2/10/2015,31/03/2016,Go North Devon Ltd,IP 27719 R,"Towards planning, production & research of Transport & Travel Guide 2016/17",3000,Revenue
Place,PT&E,23/11/2015,31/03/2016,Ride On - Cycling for All,1149065,To continue the charity work undertaken,7000,Revenue
Place,PT&E,16/03/2015,31/03/2015,Ride On - Cycling for All,1149065,"The Fruit Tree Business, Marketing Plan Consultancy",2000,Revenue
Place,PT&E,24/03/2015,31/03/2015,Ride On - Cycling for All,1149065,Application for funding for continued growth in cycling to support core costs,9000,Revenue
Place,PT&E,30/03/2015,31/03/2015,DEVON BIRD WATCHING & PRESERVATION SOCIETY,228966,Contribution to production of new Devon Bird Atlas,5000,Revenue
Place,PT&E,31/03/2015,31/03/2015,AVETON GIFFORD VILLAGE HALL,N/A,Flood Resiliance Grant - Property Level Protection,5700,Revenue
Place,PT&E,31/03/2015,31/03/2015,MODBURY FLOOD GROUPS (C/O MR M LAWRENCE),N/A,Flood Resiliance Grant - EQUIPMENT,69.89,Revenue
Place,PT&E,11/3/2015,31/03/2015,SEIZE THE MOMENT LTD,5507003,Sustainable Development Fund Grant - Final Claim,2860,Revenue
Place,PT&E,12/3/2015,31/03/2015,WARCOMBE FARM CHRISTIAN TRUST,1055038,Sustainable Development Fund Grant - Final Claim,485.95,Revenue
Place,PT&E,12/3/2015,31/03/2015,SOUTH WEST COAST PATH ASSOC,266754,Sustainable Development Fund Grant - Final Claim,750,Revenue
Place,PT&E,31/03/2015,31/03/2015,NATIONAL TRUST (TROWBRIDGE),205846,GRANT TOWARDS SEASCAP CHARACTER ASSESSMENT PROJECT,10000,Revenue
Place,PT&E,23/07/2015,31/03/2016,FRIENDS OF THE ASSAULT TRNG CNTR,N/A,Sustainable Development Fund Grant - Final Claim,2246.65,Revenue
Place,PT&E,16/03/2015,31/03/2015,ORCHARDS LIVE,1142258,Sustainable Development Fund Grant - Final Claim,1118,Revenue
Place,PT&E,1/3/2015,31/03/2015,BLACKDOWN & E DEVON WOODLAND ASSOCIATION,N/a,Sustainable Development Fund Grant - Final Claim,500,Revenue
Place,SfC,22/11/2011,3/5/2017,Stoke Hill Pre School Group,572,Building extension,2000,Capital
Place,SfC,12/6/2012,3/5/2017,Tavistock Cricket Club,687,Pavilion rebuild,2000,Capital
Place,SfC,21/12/2012,3/5/2017,Dawlish Repertory Company,836,Boiler replacement,3000,Capital
Place,SfC,21/12/2012,3/5/2017,Action For Children,847,Sensory room,3931.96,Capital
Place,SfC,28/07/2014,3/5/2017,Budleigh Community Youth Project,1022,New kitchen,7000,Capital
Place,SfC,28/08/2014,3/5/2017,Cornworthy Village Hall,1040,Purchase of new dishwasher,800,Capital
Place,SfC,3/10/2014,3/5/2017,Honiton Community Church,1044,The Kings Centre - heating system & automatic door,1000,Capital
Place,SfC,3/10/2014,3/5/2017,Old Heathcoat School Community Centre,1050,Floor refurbishment,2500,Capital
Place,SfC,3/10/2014,3/5/2017,St Thomas Allotment Holders Association,1060,Site security at Guys & Hylton Allotments,1140,Capital
Place,SfC,3/10/2014,3/5/2017,St Edmund King and Martyr Church,1068,Stabilization of two stained glass windows,1000,Capital
Place,SfC,27/11/2014,3/5/2017,Dart Gig Club,1088,Store construction,1300,Capital
Place,SfC,3/10/2014,3/5/2017,Sampford Courtenay Village Hall,1046,Village hall refurbishment,2000,Capital
