Function,Service,Date Grant Awarded,Time Period for Grant,Grant Beneficiary,Beneficiary's registration Number,Purpose of Grant,Amount,Revenue / Capital
CoPHEP,PTE,22/12/2016,01/04/2016 - 31/03/2017,SOUTH WEST AIRFIELDS HERITAGE           ,1103588,DEFRA Funded Sustainable Development Fund Grant,2402.23,Revenue
CoPHEP,PTE,20/12/2016,01/04/2016 - 31/03/2017,OFFWELL WOODLAND & WILDLIFE TRST        ,1000198,DEFRA Funded Sustainable Development Fund Grant,1200,Revenue
CoPHEP,PTE,20/12/2016,01/04/2016 - 31/03/2017,SOUTH WEST AIRFIELDS HERITAGE           ,1103588,DEFRA Funded Sustainable Development Fund Grant,597.77,Revenue
CoPHEP,PTE,16/02/2017,31/03/2017,DEVON WILDLIFE TRUST                    ,213224,Grant to the Greater Horseshoe Bat Project,3000,Revenue
CoPHEP,PTE,03/05/2016,01/04/2016 - 31/03/2017,NORTH DEVON MOVING IMAGE CIC            ,8737215,DEFRA Funded Sustainable Development Fund Grant,709.41,Revenue
CoPHEP,PTE,25/11/2016,01/04/2016 - 31/03/2017,COMBE MARTIN MUSEUM                     ,1167141,DEFRA Funded Sustainable Development Fund Grant,4130,Revenue
CoPHEP,PTE,10/01/2017,01/04/2016 - 31/03/2017,NEROCHE WOODLANDERS LTD                 ,,DEFRA Funded Sustainable Development Fund Grant,1822.3,Revenue
CoPHEP,PTE,16/01/2017,01/04/2016 - 31/03/2017,WELLINGTON IN BLOOM                     ,,DEFRA Funded Sustainable Development Fund Grant,1259,Revenue
CoPHEP,PTE,10/01/2017,01/04/2016 - 31/03/2017,ASHILL VILLAGE HALL                     ,268793,DEFRA Funded Sustainable Development Fund Grant,1741,Revenue
CoPHEP,PTE,25/01/2016,01/04/2016 - 31/03/2017,COLDHARBOUR MILL TRUST                  ,1123386,DEFRA Funded Sustainable Development Fund Grant,1089.13,Revenue
CoPHEP,PTE,22/12/2016,01/04/2016 - 31/03/2017,FERNE ANIMAL SANCTUARY                  ,1164350,DEFRA Funded Sustainable Development Fund Grant,1986,Revenue
CoPHEP,PTE,29/08/2017,01/04/2017 - 31/03/2018,NATIONAL TRUST - WESSEX REGION 3        ,205846,DEFRA Funded Sustainable Development Fund Grant,2000,Revenue
CoPHEP,PTE,31/03/2017,31/03/2017,CO-CARS LIMITED,IP031432,E-bike contribution,20000,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,AXE VALLEY & DORSET RING & RIDE         ,Charity reg 1098002,To Provide local Ring & Ride and Community Transport,15000,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,EAST TEIGNBRIDGE C T A                  ,Charity Reg 1060175,To Provide local Ring & Ride and Community Transport,15175,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,EXETER COMMUNITY TRANSPORT ASSOC        ,Charity Reg 1129560,To Provide local Ring & Ride and Community Transport,19600,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,GO NORTH DEVON LTD                      ,Industrial & Provident Society No 27719R,To Provide local Ring & Ride and Community Transport,18000,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,HOLSWORTHY RURAL COMMUNITY              ,Charity reg: 1109623,To Provide local Ring & Ride and Community Transport,15000,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,ILFRACOMBE COMMUNITY TRANSPORT          ,Charity reg: 279975,To Provide local Ring & Ride and Community Transport,32500,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,IVYBRIDGE & DISTRICT C T A              ,Charity reg: 1123577,To Provide local Ring & Ride and Community Transport,19990,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,NEWTON ABBOT CTA                        ,Charity reg: 1124719,To Provide local Ring & Ride and Community Transport,29030,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,OKEHAMPTON & DISTRICT COMMUNITY         ,Charity reg: 1024617,To Provide local Ring & Ride and Community Transport,15000,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,TAVISTOCK & DIST LOCAL TRANSPORT        ,Charity reg: 1079282,To Provide local Ring & Ride and Community Transport,15000,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,TAVISTOCK AREA SUPPORT SERVICES         ,Charity reg: 1129175,To Provide local Ring & Ride and Community Transport,500,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,TEIGNMOUTH SHOPMOBILITY                 ,Charity reg: 1072990,To Provide local Ring & Ride and Community Transport,500,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,TIVERTON & DIST COMM TRANS ASSOC        ,Charity reg: 1099477,To Provide local Ring & Ride and Community Transport,32000,Revenue
CoPhep,PTE,01/04/2017,1/4/17-31/3/18,TRIP COMMUNITY TRANSPORT ASSOC          ,Charity reg: 1082544,To Provide local Ring & Ride and Community Transport,15175,Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,Connections ,1328,Mental Health Prevention Grant ,"15,289",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,Exeter CVS ,1330,Mental Health Prevention Grant ,"24,919",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,The Bridge Collective ,1341,Mental Health Prevention Grant ,"38,214",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,Mindex,1342,Mental Health Prevention Grant ,"12,890",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,Rethink ,1344,Mental Health Prevention Grant ,"12,891",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,Recovery Devon,08107189,Running costs,"27,000",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,TAVISTOCK AREA SUPPORT SERVICES         ,Charity No. 1129175,Drop in support centre service,"11,238",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,OTTERY HELP SCHEME                      ,Charity No. 1150898,Home/Community Support,"4,814",Revenue
PEOPLE,Adult Social Care ,01/04/2017,01/04/17 - 31/03/18,AGE CONCERN BARNSTAPLE                  ,Charity No. 1015513,Home/Community Support,"28,420",Revenue
Place,SfC,03/06/2014,31/12/2018,GREAT TORRINGTON HERITAGE MUSEUM        ,1018,New Home for Great Torrington Heritage Museum & Archive,15555,Capital  
Place,SfC,28/08/2014,31/12/2018,TRANSITION TOWN TOTNES                  ,1033,Transition Town Totnes - Totnes Keeping warm,600,Capital  
Place,SfC,30/01/2015,31/12/2018,NORTH DARTMOOR SEARCH & RESCUE          ,1116,Construction of internal mezzanine floor,10000,Capital  
Place,SfC,05/03/2015,31/12/2018,BROADWOODWIDGER COMMUNITY FUND          ,1149,Renovation of church hall ,1100,Capital  
Place,SfC,07/04/2015,31/12/2018,ROYAL BRITISH LEGION WEST HILL          ,1161,Improved disability access,1000,Capital  
Place,SfC,07/04/2015,31/12/2018,TIVERTON COMMUNITY ARTS THEATRE         ,1166,Development of audience lounge / green room  / kitchen,3000,Capital  
Place,SfC,02/11/2015,31/12/2018,TOTNES CARING LTD                       ,1195,Wheelchair adapted vehicle signage,687.75,Capital  
Place,SfC,04/01/2016,31/12/2018,WONFORD COMM & LEARNING CNTR LTD        ,1216,The Phoenix Suite & Wonford Community Hub,28286.01,Capital  
Place,SfC,04/01/2016,31/12/2018,WONFORD COMM & LEARNING CNTR LTD        ,1216,The Phoenix Suite & Wonford Community Hub,1458.34,Capital  
Place,SfC,04/01/2016,31/12/2018,WEIR QUAY COMMUNITY WATERSPORTS         ,1223,Contribution towards boatshed and changing/toilet facilities,3532,Capital  
Place,SfC,10/03/2016,31/12/2018,DEVON COUNTY AGRICULTURAL ASSOC         ,1227,Contribution towards Wadsworth Pavilion Regeneration,2500,Capital  
Place,SfC,01/06/2016,31/12/2018,PRINCETOWN FC                           ,1244,"Contribution towards parking area, perimeter fence  & equipment shed",2500,Capital  
Place,SfC,01/06/2016,31/12/2018,ST PETERS PAROCHIAL CHURCH COUNC        ,1257,"Contribution towards St Peter's Church, Budleigh Salterton lighting project",5000,Capital  
Place,SfC,26/07/2016,31/12/2018,CREDITON PARISH CHURCH                  ,1268,Contribution towards Crediton Parish Church clock,1000,Capital  
Place,SfC,26/07/2016,31/12/2018,KNAPPE CROSS COMMUNITY CENTRE           ,1278,ontribution towards window & door replacement at Knappe Cross Community Centre,1120,Capital  
Place,SfC,26/07/2016,31/12/2018,KNAPPE CROSS COMMUNITY CENTRE           ,1278,ontribution towards window & door replacement at Knappe Cross Community Centre,1026.68,Capital  
Place,SfC,26/07/2016,31/12/2018,TAVISTOCK COMMNITY SENSRY GARDEN        ,1285,Contribution towards construction of a sensory garden,1000,Capital  
Place,SfC,18/08/2016,31/12/2018,KINGSWEAR HALL                          ,1291,Replacement of windows,1015.8,Capital  
Place,SfC,18/08/2016,31/12/2018,KINGSWEAR HALL                          ,1291,Replacement of windows,984.2,Capital  
Place,SfC,18/08/2016,31/12/2018,SAFE SOUTH WEST                         ,1292,Purchase of play equipment,2000,Capital  
Place,SfC,18/08/2016,31/12/2018,SOUTHLEIGH PARISH HALL                  ,1293,Refurbishment of Parish Hall,2000,Capital  
Place,SfC,18/08/2016,31/12/2018,TRANSITION TOWN TOTNES                  ,1299,Reconomy Centre Media Equipment,1400,Capital  
Place,SfC,22/09/2016,31/12/2018,TREFOIL LODGE MANAGEMENT COMMTEE        ,1313,Girl Guiding - Refurbishment of Trefoil Lodge HQ,2000,Capital  
Place,SfC,22/09/2016,31/12/2018,TOTNES CARING LTD                       ,1314,Purchase of 4 laptops,712,Capital  
Place,SfC,22/09/2016,31/12/2018,ALPHINGTON COMMUNITY ASSOCIATION        ,1315,Village hall kitchen refurb,2000,Capital  
